1;1101;KABUPATEN SIMEULUE
1;1102;KABUPATEN ACEH SINGKIL
1;1103;KABUPATEN ACEH SELATAN
1;1104;KABUPATEN ACEH TENGGARA
1;1105;KABUPATEN ACEH TIMUR
1;1106;KABUPATEN ACEH TENGAH
1;1107;KABUPATEN ACEH BARAT
1;1108;KABUPATEN ACEH BESAR
1;1109;KABUPATEN PIDIE
1;1110;KABUPATEN BIREUEN
1;1111;KABUPATEN ACEH UTARA
1;1112;KABUPATEN ACEH BARAT DAYA
1;1113;KABUPATEN GAYO LUES
1;1114;KABUPATEN ACEH TAMIANG
1;1115;KABUPATEN NAGAN RAYA
1;1116;KABUPATEN ACEH JAYA
1;1117;KABUPATEN BENER MERIAH
1;1118;KABUPATEN PIDIE JAYA
1;1171;KOTA BANDA ACEH
1;1172;KOTA SABANG
1;1173;KOTA LANGSA
1;1174;KOTA LHOKSEUMAWE
1;1175;KOTA SUBULUSSALAM
2;1201;KABUPATEN NIAS
2;1202;KABUPATEN MANDAILING NATAL
2;1203;KABUPATEN TAPANULI SELATAN
2;1204;KABUPATEN TAPANULI TENGAH
2;1205;KABUPATEN TAPANULI UTARA
2;1206;KABUPATEN TOBA SAMOSIR
2;1207;KABUPATEN LABUHAN BATU
2;1208;KABUPATEN ASAHAN
2;1209;KABUPATEN SIMALUNGUN
2;1210;KABUPATEN DAIRI
2;1211;KABUPATEN KARO
2;1212;KABUPATEN DELI SERDANG
2;1213;KABUPATEN LANGKAT
2;1214;KABUPATEN NIAS SELATAN
2;1215;KABUPATEN HUMBANG HASUNDUTAN
2;1216;KABUPATEN PAKPAK BHARAT
2;1217;KABUPATEN SAMOSIR
2;1218;KABUPATEN SERDANG BEDAGAI
2;1219;KABUPATEN BATU BARA
2;1220;KABUPATEN PADANG LAWAS UTARA
2;1221;KABUPATEN PADANG LAWAS
2;1222;KABUPATEN LABUHAN BATU SELATAN
2;1223;KABUPATEN LABUHAN BATU UTARA
2;1224;KABUPATEN NIAS UTARA
2;1225;KABUPATEN NIAS BARAT
2;1271;KOTA SIBOLGA
2;1272;KOTA TANJUNG BALAI
2;1273;KOTA PEMATANG SIANTAR
2;1274;KOTA TEBING TINGGI
2;1275;KOTA MEDAN
2;1276;KOTA BINJAI
2;1277;KOTA PADANGSIDIMPUAN
2;1278;KOTA GUNUNGSITOLI
3;1301;KABUPATEN KEPULAUAN MENTAWAI
3;1302;KABUPATEN PESISIR SELATAN
3;1303;KABUPATEN SOLOK
3;1304;KABUPATEN SIJUNJUNG
3;1305;KABUPATEN TANAH DATAR
3;1306;KABUPATEN PADANG PARIAMAN
3;1307;KABUPATEN AGAM
3;1308;KABUPATEN LIMA PULUH KOTA
3;1309;KABUPATEN PASAMAN
3;1310;KABUPATEN SOLOK SELATAN
3;1311;KABUPATEN DHARMASRAYA
3;1312;KABUPATEN PASAMAN BARAT
3;1371;KOTA PADANG
3;1372;KOTA SOLOK
3;1373;KOTA SAWAH LUNTO
3;1374;KOTA PADANG PANJANG
3;1375;KOTA BUKITTINGGI
3;1376;KOTA PAYAKUMBUH
3;1377;KOTA PARIAMAN
4;1401;KABUPATEN KUANTAN SINGINGI
4;1402;KABUPATEN INDRAGIRI HULU
4;1403;KABUPATEN INDRAGIRI HILIR
4;1404;KABUPATEN PELALAWAN
4;1405;KABUPATEN SIAK
4;1406;KABUPATEN KAMPAR
4;1407;KABUPATEN ROKAN HULU
4;1408;KABUPATEN BENGKALIS
4;1409;KABUPATEN ROKAN HILIR
4;1410;KABUPATEN KEPULAUAN MERANTI
4;1471;KOTA PEKANBARU
4;1473;KOTA DUMAI
5;1501;KABUPATEN KERINCI
