1;Teupah Selatan
1;Simeulue Timur
1;Teupah Barat
1;Teupah Tengah
1;Simeulue Tengah
1;Teluk Dalam
1;Simeulue Cut
1;Salang
1;Simeulue Barat
1;Alafan
2;Pulau Banyak
2;Pulau Banyak Barat
2;Singkil
2;Singkil Utara
2;Kuala Baru
2;Simpang Kanan
2;Gunung Meriah
2;Danau Paris
2;Suro
2;Singkohor
2;Kota Baharu
3;Trumon
3;Trumon Timur
3;Trumon Tengah
3;Bakongan
3;Bakongan Timur
3;Kota Bahagia
3;Kluet Selatan
3;Kluet Timur
3;Kluet Utara
3;Pasie Raja
3;Kluet Tengah
3;Tapak Tuan
3;Sama Dua
3;Sawang
3;Meukek
3;Labuhan Haji
3;Labuhan Haji Timur
3;Labuhan Haji Barat
4;Lawe Alas
4;Babul Rahmah
4;Tanoh Alas
4;Lawe Sigala-Gala
4;Babul Makmur
4;Semadam
4;Lauser
4;Bambel
4;Bukit Tusam
4;Lawe Sumur
4;Babussalam
4;Lawe Bulan
4;Badar
4;Darul Hasanah
4;Ketambe
4;Deleng Pokhkisen
5;Serba Jadi
5;Simpang Jernih
5;Peunaron
5;Birem Bayeun
5;Rantau Selamat
5;Sungai Raya
5;Peureulak
5;Peureulak Timur
5;Peureulak Barat
5;Ranto Peureulak
5;Idi Rayeuk
5;Peudawa
5;Banda Alam
5;Idi Tunong
5;Darul Ihsan
5;Idi Timur
5;Darul Aman
5;Nurussalam
5;Darul Falah
5;Julok
5;Indra Makmur
5;Pante Bidari
5;Simpang Ulim
5;Madat
6;Linge
6;Atu Lintang
6;Jagong Jeget
6;Bintang
6;Lut Tawar
6;Kebayakan
6;Pegasing
6;Bies
6;Bebesen
6;Kute Panang
6;Silih Nara
6;Ketol
6;Celala
6;Rusip Antara
7;Johan Pahlawan
7;Samatiga
7;Bubon
7;Arongan Lambalek
7;Woyla
7;Woyla Barat
7;Woyla Timur
7;Kaway Xvi
7;Meureubo
7;Pantai Ceuremen
7;Panton Reu
7;Sungai Mas
8;Lhoong
8;Lhoknga
8;Leupung
8;Indrapuri
8;Kuta Cot Glie
8;Seulimeum
8;Kota Jantho
8;Lembah Seulawah
8;Mesjid Raya
8;Darussalam
8;Baitussalam
8;Kuta Baro
8;Montasik
8;Blang Bintang
8;Ingin Jaya
8;Krueng Barona Jaya
8;Suka Makmur
8;Kuta Malaka
8;Simpang Tiga
8;Darul Imarah
8;Darul Kamal
8;Peukan Bada
8;Pulo Aceh
9;Geumpang
9;Mane
9;Glumpang Tiga
9;Glumpang Baro
9;Mutiara
9;Mutiara Timur
9;Tiro/Truseb
9;Tangse
9;Keumala
9;Titeue
9;Sakti
9;Mila
9;Padang Tiji
9;Delima
9;Grong Grong
9;Indrajaya
9;Peukan Baro
9;Kembang Tanjong
9;Simpang Tiga
9;Kota Sigli
9;Pidie
9;Batee
9;Muara Tiga
10;Samalanga
10;Simpang Mamplam
10;Pandrah
10;Jeunieb
10;Peulimbang
10;Peudada
10;Juli
10;Jeumpa
10;Kota Juang
10;Kuala
10;Jangka
10;Peusangan
10;Peusangan Selatan
10;Peusangan Siblah Krueng
10;Makmur
10;Ganda Pura
10;Kuta Blang
11;Sawang
11;Nisam
11;Nisam Antara
11;Banda Baro
11;Kuta Makmur
11;Simpang Keramat
11;Syamtalira Bayu
11;Geureudong Pase
11;Meurah Mulia
11;Matangkuli
11;Paya Bakong
