1101;1;Kabupaten Simeulue
1102;1;Kabupaten Aceh Singkil
1103;1;Kabupaten Aceh Selatan
1104;1;Kabupaten Aceh Tenggara
1105;1;Kabupaten Aceh Timur
1106;1;Kabupaten Aceh Tengah
1107;1;Kabupaten Aceh Barat
1108;1;Kabupaten Aceh Besar
1109;1;Kabupaten Pidie
1110;1;Kabupaten Bireuen
1111;1;Kabupaten Aceh Utara
1112;1;Kabupaten Aceh Barat Daya
1113;1;Kabupaten Gayo Lues
1114;1;Kabupaten Aceh Tamiang
1115;1;Kabupaten Nagan Raya
1116;1;Kabupaten Aceh Jaya
1117;1;Kabupaten Bener Meriah
1118;1;Kabupaten Pidie Jaya
1171;1;Kota Banda Aceh
1172;1;Kota Sabang
1173;1;Kota Langsa
1174;1;Kota Lhokseumawe
1175;1;Kota Subulussalam
1201;2;Kabupaten Nias
1202;2;Kabupaten Mandailing Natal
1203;2;Kabupaten Tapanuli Selatan
1204;2;Kabupaten Tapanuli Tengah
1205;2;Kabupaten Tapanuli Utara
1206;2;Kabupaten Toba Samosir
1207;2;Kabupaten Labuhan Batu
1208;2;Kabupaten Asahan
1209;2;Kabupaten Simalungun
1210;2;Kabupaten Dairi
1211;2;Kabupaten Karo
1212;2;Kabupaten Deli Serdang
1213;2;Kabupaten Langkat
1214;2;Kabupaten Nias Selatan
1215;2;Kabupaten Humbang Hasundutan
1216;2;Kabupaten Pakpak Bharat
1217;2;Kabupaten Samosir
1218;2;Kabupaten Serdang Bedagai
1219;2;Kabupaten Batu Bara
1220;2;Kabupaten Padang Lawas Utara
1221;2;Kabupaten Padang Lawas
1222;2;Kabupaten Labuhan Batu Selatan
1223;2;Kabupaten Labuhan Batu Utara
1224;2;Kabupaten Nias Utara
1225;2;Kabupaten Nias Barat
1271;2;Kota Sibolga
1272;2;Kota Tanjung Balai
1273;2;Kota Pematang Siantar
1274;2;Kota Tebing Tinggi
1275;2;Kota Medan
1276;2;Kota Binjai
1277;2;Kota Padangsidimpuan
1278;2;Kota Gunungsitoli
1301;3;Kabupaten Kepulauan Mentawai
1302;3;Kabupaten Pesisir Selatan
1303;3;Kabupaten Solok
1304;3;Kabupaten Sijunjung
1305;3;Kabupaten Tanah Datar
1306;3;Kabupaten Padang Pariaman
1307;3;Kabupaten Agam
1308;3;Kabupaten Lima Puluh Kota
1309;3;Kabupaten Pasaman
1310;3;Kabupaten Solok Selatan
1311;3;Kabupaten Dharmasraya
1312;3;Kabupaten Pasaman Barat
1371;3;Kota Padang
1372;3;Kota Solok
1373;3;Kota Sawah Lunto
1374;3;Kota Padang Panjang
1375;3;Kota Bukittinggi
